task_id,condition,run_id,model,word_target,gptzero_ai_prob,gptzero_mixed_prob,gptzero_human_prob,originality_ai_score
crewai_001,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,89,11,0,
crewai_001,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_004,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
crewai_004,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_006,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
crewai_006,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_008,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
crewai_008,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_001,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
duckdb_001,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_002,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,99,1,0,
duckdb_002,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_004,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,1,0,
duckdb_004,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_007,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,94,6,0,
duckdb_007,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_001,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_001,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_002,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,97,3,0,
langchain_002,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_003,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,80,20,0,
langchain_003,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_007,context_rich,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_007,context_rich,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_001,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,87,13,0,
crewai_001,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_004,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,100,0,0,
crewai_004,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_006,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_006,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_008,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_008,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_001,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_001,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_002,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_002,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_004,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_004,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_007,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_007,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_001,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_001,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_002,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_002,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_003,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_003,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_007,context_rich,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_007,context_rich,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_001,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,88,12,0,100_ai
crewai_001,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_004,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,97,3,0,100_ai
crewai_004,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_006,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,100_ai
crewai_006,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_008,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,97,3,0,100_ai
crewai_008,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_001,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,97_ai
duckdb_001,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_002,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,99,1,0,
duckdb_002,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_004,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,96,4,0,
duckdb_004,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_007,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
duckdb_007,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_001,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_001,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_002,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_002,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_003,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,95,5,0,
langchain_003,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_007,humanized,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_007,humanized,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_001,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_001,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_004,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_004,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_006,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_006,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_008,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_008,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_001,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_001,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_002,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_002,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_004,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_004,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_007,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_007,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_001,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_001,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_002,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_002,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_003,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_003,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_007,humanized,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_007,humanized,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_001,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,99,1,0,100_ai
crewai_001,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_004,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,99,1,0,100_ai
crewai_004,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_006,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,86,14,0,
crewai_006,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_008,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
crewai_008,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_001,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
duckdb_001,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_002,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,85,15,0,
duckdb_002,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_004,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
duckdb_004,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
duckdb_007,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
duckdb_007,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_001,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_001,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_002,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_002,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_003,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,97,3,0,
langchain_003,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
langchain_007,style_constrained,run_01,claude-opus-4-6 (Claude Code),800-1000,100,0,0,
langchain_007,style_constrained,run_02,claude-opus-4-6 (Claude Code),800-1000,,,,
crewai_001,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,87,13,0,
crewai_001,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_004,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_004,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_006,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_006,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_008,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_008,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_001,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_001,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_002,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_002,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_004,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_004,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_007,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
duckdb_007,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_001,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_001,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_002,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_002,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_003,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_003,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_007,style_constrained,run_01,claude-opus-4-6 (Claude Code),1500-2000,,,,
langchain_007,style_constrained,run_02,claude-opus-4-6 (Claude Code),1500-2000,,,,
crewai_001,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
crewai_004,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
crewai_006,context_rich,run_01,gpt-5.4 (Codex),800-1000,99,1,0,
crewai_008,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
duckdb_001,context_rich,run_01,gpt-5.4 (Codex),800-1000,96,4,0,
duckdb_002,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
duckdb_004,context_rich,run_01,gpt-5.4 (Codex),800-1000,91,9,0,
duckdb_007,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
langchain_001,context_rich,run_01,gpt-5.4 (Codex),800-1000,98,2,0,
langchain_002,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
langchain_003,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
langchain_007,context_rich,run_01,gpt-5.4 (Codex),800-1000,100,0,0,
crewai_001,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
crewai_004,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
crewai_006,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
crewai_008,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
duckdb_001,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
duckdb_002,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
duckdb_004,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
duckdb_007,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
langchain_001,humanized,run_01,gpt-5.4 (Codex),800-1000,,,,
